sex,education,marital_status,region,employment_status,employment_type,h19_pers_income1,h19_pers_income2,h19_pers_income4,h19_cin,h19_din,debt_financial,debt_private,debt_card,debt_lease,debt_credit,debt_other,housing_debt_balance,housing_tenure,age,total_debt
2.0,7.0,5.0,3.0,1.0,1.0,5436.0,1440.0,0.0,5556.0,4812.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,29.0,0.0
2.0,6.0,5.0,3.0,9.0,1.0,3769.0,858.0,0.0,3982.0,3742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,0.0
1.0,7.0,5.0,2.0,2.0,1.0,3769.0,1200.0,0.0,10204.0,9784.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,1.0,24.0,230.0
1.0,7.0,5.0,1.0,1.0,1.0,4630.0,1440.0,0.0,8159.0,7511.0,8000.0,0.0,0.0,0.0,0.0,0.0,8000.0,1.0,32.0,8000.0
1.0,8.0,1.0,2.0,1.0,1.0,6637.0,1440.0,0.0,12481.0,10345.0,40000.0,0.0,0.0,0.0,0.0,0.0,40000.0,1.0,33.0,40000.0
1.0,5.0,5.0,3.0,9.0,1.0,3769.0,3647.0,0.0,11417.0,10169.0,1000.0,0.0,0.0,0.0,0.0,0.0,2350.0,1.0,35.0,1000.0
2.0,7.0,5.0,2.0,9.0,1.0,3769.0,120.0,0.0,8154.0,7170.0,25700.0,0.0,400.0,0.0,0.0,0.0,15000.0,1.0,20.0,26100.0
1.0,8.0,1.0,3.0,1.0,1.0,4440.0,1440.0,0.0,6381.0,6249.0,6800.0,0.0,0.0,0.0,0.0,0.0,6800.0,3.0,35.0,6800.0
2.0,7.0,1.0,2.0,2.0,3.0,3769.0,6106.0,0.0,10862.0,9914.0,16000.0,0.0,0.0,0.0,0.0,0.0,16000.0,2.0,38.0,16000.0
2.0,6.0,5.0,2.0,1.0,1.0,4650.0,1440.0,0.0,13086.0,10890.0,15000.0,0.0,0.0,0.0,0.0,0.0,15000.0,1.0,27.0,15000.0
1.0,7.0,5.0,3.0,2.0,1.0,3769.0,3600.0,0.0,3740.0,3680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,36.0,0.0
2.0,5.0,5.0,3.0,3.0,1.0,3769.0,1368.0,0.0,3686.0,3470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,0.0
1.0,9.0,1.0,3.0,1.0,1.0,10512.0,1440.0,0.0,23952.0,18492.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,2.0,37.0,6000.0
2.0,7.0,1.0,2.0,1.0,1.0,750.0,1440.0,0.0,6664.0,6124.0,11600.0,0.0,0.0,0.0,0.0,0.0,11600.0,1.0,28.0,11600.0
1.0,5.0,5.0,2.0,6.0,1.0,3769.0,1440.0,0.0,15374.0,13994.0,3800.0,0.0,2700.0,0.0,0.0,0.0,3800.0,1.0,28.0,6500.0
2.0,7.0,5.0,2.0,1.0,1.0,5765.0,1440.0,0.0,15750.0,14478.0,7242.0,0.0,0.0,0.0,0.0,0.0,7242.0,1.0,29.0,7242.0
2.0,8.0,1.0,1.0,9.0,1.0,940.0,1440.0,0.0,11516.0,9836.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,2.0,35.0,50000.0
2.0,6.0,5.0,1.0,3.0,1.0,3769.0,440.0,0.0,3840.0,3396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,0.0
2.0,7.0,5.0,2.0,3.0,1.0,3769.0,600.0,0.0,4480.0,4060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,0.0
1.0,7.0,1.0,3.0,1.0,1.0,4590.0,1440.0,0.0,13456.0,12748.0,14906.0,0.0,0.0,0.0,0.0,0.0,14906.0,1.0,36.0,14906.0
1.0,5.0,5.0,3.0,2.0,1.0,3769.0,2530.0,0.0,5074.0,4570.0,0.0,0.0,1471.0,0.0,0.0,0.0,0.0,3.0,25.0,1471.0
2.0,7.0,5.0,1.0,2.0,1.0,3769.0,2376.0,0.0,3684.0,3492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,26.0,0.0
2.0,7.0,5.0,1.0,1.0,1.0,5616.0,1440.0,0.0,10720.0,9676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,0.0
2.0,7.0,1.0,3.0,2.0,1.0,3769.0,2000.0,0.0,6430.0,5914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.0,0.0
1.0,7.0,1.0,4.0,2.0,1.0,3769.0,4336.0,0.0,6834.0,6234.0,0.0,0.0,422.0,0.0,0.0,0.0,0.0,3.0,30.0,422.0
2.0,7.0,5.0,1.0,2.0,1.0,3769.0,3720.0,0.0,3720.0,3336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,38.0,0.0
2.0,5.0,5.0,3.0,9.0,1.0,3769.0,150.0,0.0,10268.0,9560.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,1.0,20.0,4000.0
1.0,6.0,5.0,2.0,2.0,1.0,3769.0,880.0,0.0,9788.0,8180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,0.0
1.0,7.0,1.0,2.0,1.0,1.0,10040.0,1440.0,0.0,25905.0,22365.0,27740.0,0.0,0.0,0.0,0.0,0.0,19000.0,1.0,32.0,27740.0
1.0,5.0,5.0,3.0,3.0,1.0,3769.0,3840.0,0.0,15766.0,15022.0,3000.0,0.0,0.0,0.0,0.0,0.0,3000.0,1.0,23.0,3000.0
2.0,7.0,1.0,2.0,1.0,1.0,3112.0,1440.0,0.0,3787.0,3511.0,0.0,25000.0,0.0,0.0,0.0,0.0,0.0,3.0,29.0,25000.0
2.0,6.0,1.0,3.0,1.0,1.0,4140.0,1440.0,0.0,9220.0,8716.0,13500.0,0.0,0.0,0.0,0.0,0.0,13500.0,2.0,32.0,13500.0
2.0,6.0,5.0,3.0,2.0,3.0,3769.0,4320.0,0.0,18280.0,16120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,0.0
2.0,7.0,5.0,2.0,8.0,1.0,660.0,300.0,0.0,1534.0,1414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,0.0
2.0,5.0,3.0,3.0,2.0,1.0,3769.0,1440.0,0.0,9848.0,9284.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,700.0
2.0,7.0,5.0,4.0,1.0,1.0,2196.0,1440.0,0.0,2232.0,1956.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,0.0
2.0,7.0,1.0,1.0,1.0,1.0,6640.0,1440.0,0.0,18238.0,13954.0,53950.0,0.0,0.0,0.0,0.0,10000.0,49950.0,1.0,35.0,63950.0
2.0,5.0,5.0,3.0,6.0,1.0,3769.0,1440.0,0.0,5631.0,5475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,0.0
1.0,7.0,1.0,3.0,1.0,2.0,3920.0,1440.0,0.0,9410.0,8570.0,16270.0,0.0,0.0,0.0,0.0,0.0,12270.0,1.0,32.0,16270.0
1.0,6.0,5.0,3.0,2.0,1.0,3769.0,4968.0,0.0,5048.0,4424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,36.0,0.0
2.0,7.0,5.0,1.0,1.0,1.0,5559.0,1440.0,0.0,9032.0,8180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,0.0
1.0,5.0,5.0,3.0,9.0,1.0,3769.0,350.0,0.0,5170.0,5026.0,3400.0,0.0,0.0,0.0,0.0,0.0,1900.0,1.0,25.0,3400.0
2.0,7.0,5.0,1.0,2.0,1.0,3769.0,2535.0,0.0,3687.0,3483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,26.0,0.0
1.0,7.0,5.0,3.0,9.0,1.0,3769.0,512.0,0.0,7775.0,7019.0,1171.0,0.0,0.0,0.0,0.0,600.0,1171.0,1.0,23.0,1771.0
1.0,6.0,5.0,3.0,9.0,1.0,3769.0,682.0,0.0,2232.0,2178.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,10000.0
1.0,5.0,5.0,1.0,2.0,1.0,3769.0,3975.0,0.0,5326.0,5038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,30.0,0.0
1.0,6.0,5.0,2.0,1.0,1.0,10520.0,1440.0,0.0,17820.0,15204.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,50000.0
1.0,6.0,5.0,3.0,8.0,1.0,3769.0,575.0,0.0,4292.0,3980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,27.0,0.0
2.0,7.0,5.0,1.0,2.0,1.0,3769.0,787.0,0.0,3887.0,3825.8,18900.0,0.0,0.0,0.0,0.0,0.0,18900.0,2.0,26.0,18900.0
1.0,7.0,5.0,3.0,8.0,1.0,1091.0,400.0,0.0,2169.0,2063.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,29.0,0.0
1.0,6.0,5.0,2.0,2.0,1.0,3769.0,2775.0,0.0,2775.0,2595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,26.0,0.0
1.0,7.0,5.0,2.0,2.0,1.0,3769.0,1400.0,0.0,11834.0,9950.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,26.0,30000.0
2.0,5.0,1.0,3.0,9.0,1.0,3769.0,1596.0,0.0,3096.0,3046.8,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,28.0,5000.0
1.0,7.0,5.0,1.0,1.0,1.0,5440.0,1440.0,0.0,5640.0,4860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,34.0,0.0
1.0,5.0,5.0,2.0,2.0,1.0,3769.0,3035.0,0.0,11566.0,10270.0,2184.0,0.0,300.0,0.0,0.0,0.0,0.0,1.0,26.0,2484.0
1.0,5.0,5.0,3.0,1.0,1.0,3090.0,1440.0,0.0,3166.0,2830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,28.0,0.0
1.0,7.0,5.0,3.0,9.0,1.0,3769.0,1440.0,716.0,3258.0,3102.0,7100.0,0.0,0.0,0.0,0.0,0.0,7100.0,2.0,26.0,7100.0
2.0,7.0,1.0,4.0,1.0,1.0,2400.0,1440.0,0.0,6920.0,6476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,0.0
1.0,7.0,5.0,3.0,9.0,1.0,3769.0,1440.0,1179.0,10373.0,9305.0,9368.0,0.0,0.0,0.0,0.0,0.0,7068.0,1.0,22.0,9368.0
2.0,7.0,1.0,3.0,1.0,1.0,6820.0,1440.0,0.0,33732.0,32664.0,21600.0,0.0,200.0,0.0,0.0,0.0,16600.0,1.0,36.0,21800.0
